epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,395.47,1.92329,0.87651,0.00238,0.73481,0.57416,0.62598,0.2504,2.56327,1.1217,0.00282,0.00111689,0.00111689,0.00111689
102,399.72,1.83204,0.81367,0.0021,0.74941,0.56352,0.61465,0.24651,2.49754,1.10728,0.00277,0.00111139,0.00111139,0.00111139
103,403.108,1.86773,0.8128,0.00223,0.76545,0.57887,0.63325,0.26322,2.44471,1.13403,0.0027,0.00110589,0.00110589,0.00110589
104,406.488,1.82949,0.75692,0.00241,0.75053,0.57292,0.60411,0.25953,2.43303,1.1674,0.00265,0.00110039,0.00110039,0.00110039
105,409.92,1.89589,0.81325,0.00229,0.78604,0.64256,0.68753,0.28327,2.37035,1.10038,0.00253,0.00109489,0.00109489,0.00109489
106,414.205,1.9576,0.80448,0.00198,0.85375,0.61944,0.70251,0.28602,2.36462,1.08372,0.00256,0.00108938,0.00108938,0.00108938
107,417.635,1.85374,0.71535,0.00224,0.68958,0.62057,0.67016,0.28001,2.39416,1.10649,0.00252,0.00108388,0.00108388,0.00108388
108,420.952,2.03382,0.85911,0.00233,0.75867,0.59544,0.66079,0.26506,2.46022,1.14759,0.0026,0.00107838,0.00107838,0.00107838
109,425.116,1.79895,0.67841,0.00253,0.78614,0.55931,0.65342,0.25286,2.52564,1.23792,0.0028,0.00107288,0.00107288,0.00107288
110,428.719,1.86496,0.76357,0.00268,0.78896,0.54949,0.63672,0.25889,2.51845,1.23341,0.00275,0.00106738,0.00106738,0.00106738
111,432.084,1.77975,0.7254,0.00221,0.77423,0.61782,0.65537,0.27996,2.39292,1.25272,0.00254,0.00106188,0.00106188,0.00106188
112,435.441,1.77454,0.74536,0.00232,0.80478,0.60347,0.65973,0.27299,2.36057,1.29387,0.0025,0.00105638,0.00105638,0.00105638
113,439.79,1.84692,0.76708,0.00206,0.71825,0.57508,0.63385,0.27321,2.26866,1.23,0.00242,0.00105088,0.00105088,0.00105088
114,443.157,1.87725,0.91139,0.00218,0.73969,0.61255,0.64671,0.27868,2.27414,1.15914,0.00241,0.00104538,0.00104538,0.00104538
115,446.583,1.71966,0.74022,0.00237,0.76212,0.56738,0.61791,0.27848,2.25693,1.10424,0.00239,0.00103987,0.00103987,0.00103987
116,450.441,1.88321,0.79534,0.00207,0.73974,0.55815,0.61318,0.26649,2.29462,1.17249,0.00245,0.00103437,0.00103437,0.00103437
